Entity,Apr_Temp,April Per POP,DEPENDENT GROWTH RATE,Gov_Health_Spending_US_Thousands,Prepaid_Private_Health_Spending_US_Thousands,Out_Pocket_Health_Spending_US_Thousands,2019_Life_Expectancy,Child_Mortality_Rate_Percent,Maternal_Mortality_Per_100000,DALY_Per_100000,Deaths_HIV_AIDS,New_Cases_HIV_AIDS,People_Living_With_HIV_AIDS_x10,Region,Population,Area (sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Apr_precip
Afghanistan,13.37,7.63E-06,8.852320675,98873,18107,1495287,64.833,7.04,396,56925.1484,302.16688,922.173458,473.003433,ASIA (EX. NEAR EAST),31056997,647500,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,49.41
Albania,9.92,7.23E-05,2.019305019,628918,45361,322853,78.573,1.35,29,23013.6915,1.28579965,3.03019156,3.18741313,EASTERN EUROPE,3581655,28748,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,232,188,579,86.16
Algeria,21.94,2.57E-05,3.904368359,7283841,160002,3324466,76.88,2.52,140,24307.3776,326.660742,900.805751,1125.39246,NORTHERN AFRICA,32930091,2381740,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,101,0.6,298,8.04
Andorra,,0.005477451,0.91025641,177741,32673,148779,83.732,0.27,,17946.3721,0.44199017,4.59493765,8.70942069,WESTERN EUROPE,71201,468,0,6.6,4.05,19000,100,497.2,2.22,0,97.78,3,8.71,6.25,,,,
Argentina,14.05,2.64E-05,3.299810247,29890159,4310294,6018117,76.667,1.11,52,24632.5904,1719.21784,12182.5318,20749.7756,LATIN AMER. & CARIB,39921833,2766890,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,95,358,547,46.48
Armenia,6.62,0.000191844,2.761821366,180672,14921,1015752,75.087,1.34,25,25136.0644,23.7288217,164.95185,180.58098,C.W. OF IND. STATES,2976372,29800,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,239,343,418,59.73
Australia,21.87,4.15E-06,0.261904762,85657848,16141083,22581288,83.436,0.37,6,19037.6262,76.5799211,1394.51602,1639.50139,OCEANIA,20264082,7686850,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,38,262,0.7,31.12
Austria,5.51,0.001307355,0.450004668,32225833,3759990,8568340,81.544,0.35,4,18620.9415,37.9689139,687.623507,1623.355,WESTERN EUROPE,8192880,83870,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,18,304,678,90.7
Azerbaijan,11.64,4.51E-05,4.164345404,510992,20518,2521494,73.005,3.09,25,34532.2885,31.5164108,351.290726,315.628402,C.W. OF IND. STATES,7961619,86600,0,-4.9,81.74,3400,97,137.1,19.63,2.71,77.66,1,20.74,9.75,141,457,402,48.44
Bahrain,,0.000814504,4.571177504,1040748,194843,515507,77.292,0.76,15,21249.8598,11.5271893,20.1642695,27.3792243,NEAR EAST,698585,665,24.21,1.05,17.27,16900,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,5,387,608,
